x_par (m)		x_pol (m)		B_total (T)
8.5572E+01		3.9429E+00		9.57723771
8.6148E+01		4.0660E+00		9.6524441
8.6735E+01		4.1862E+00		9.77698617
8.7343E+01		4.3031E+00		9.94750147
8.7989E+01		4.4164E+00		10.15964166
8.8698E+01		4.5262E+00		10.40877734
8.9501E+01		4.6321E+00		10.69452426
9.0431E+01		4.7333E+00		11.02056782
9.1527E+01		4.8295E+00		11.38657308
9.2850E+01		4.9205E+00		11.78669909
9.4499E+01		5.0061E+00		12.21294752
9.6652E+01		5.0863E+00		12.65604254
9.9607E+01		5.1606E+00		13.10774416
1.0395E+02		5.2288E+00		13.55906289
1.1090E+02		5.2891E+00		13.98943378
1.1883E+02		5.3238E+00		14.29500098
1.2323E+02		5.3380E+00		14.41572609
1.2828E+02		5.3583E+00		14.42423652
1.3261E+02		5.3814E+00		14.39010222
1.3606E+02		5.4046E+00		14.32851983
1.3886E+02		5.4271E+00		14.25545964
1.4123E+02		5.4487E+00		14.17787355
1.4327E+02		5.4695E+00		14.09856121
1.4509E+02		5.4894E+00		14.01891053
1.4672E+02		5.5085E+00		13.93957937
1.4822E+02		5.5269E+00		13.86101031
1.4960E+02		5.5444E+00		13.78350257
1.5089E+02		5.5612E+00		13.70730198
1.5210E+02		5.5773E+00		13.63255619
1.5324E+02		5.5927E+00		13.55938811
1.5433E+02		5.6075E+00		13.48792189
1.5537E+02		5.6216E+00		13.41824104
1.5637E+02		5.6350E+00		13.35042151
1.5733E+02		5.6479E+00		13.284544
1.5826E+02		5.6602E+00		13.22070689
1.5917E+02		5.6719E+00		13.15894327
1.6004E+02		5.6830E+00		13.09926625
1.6089E+02		5.6935E+00		13.04173938
1.6173E+02		5.7035E+00		12.98640577
1.6254E+02		5.7130E+00		12.93331652
1.6333E+02		5.7220E+00		12.88241111
1.6411E+02		5.7305E+00		12.83373677
1.6487E+02		5.7385E+00		12.78726199
1.6562E+02		5.7460E+00		12.74295103
1.6636E+02		5.7531E+00		12.70079233
1.6708E+02		5.7598E+00		12.66076202
1.6779E+02		5.7660E+00		12.62279236
1.6848E+02		5.7718E+00		12.58686546
1.6916E+02		5.7773E+00		12.55292007
1.6982E+02		5.7824E+00		12.52091597
1.7047E+02		5.7871E+00		12.49075327
1.7111E+02		5.7915E+00		12.46244074
1.7172E+02		5.7955E+00		12.4358436
1.7232E+02		5.7993E+00		12.41094972
1.7289E+02		5.8027E+00		12.38774055
1.7344E+02		5.8059E+00		12.36612965
1.7396E+02		5.8088E+00		12.34606143
1.7445E+02		5.8115E+00		12.32748171
1.7492E+02		5.8140E+00		12.3103737
1.7535E+02		5.8162E+00		12.29468766
1.7576E+02		5.8183E+00		12.2803556
1.7614E+02		5.8202E+00		12.26729039
1.7650E+02		5.8219E+00		12.25539363
1.7682E+02		5.8234E+00		12.24457845
