,limR,limZ
0,1.5644158,1.5642352
1,1.7329835,1.6790195
2,1.3484797,2.0604134
3,1.0881953,2.05946
4,0.90225303,1.8756531
5,0.90366876,1.8742417
6,0.53386647,1.5028558
7,0.53801066,1.4987433
8,0.33279714,1.2970896
9,0.33279714,1.094
10,0.33479592,1.094
11,0.30311525,0.8475
12,0.30511403,0.8475
13,0.26913595,0.565
14,0.27113473,0.565
15,0.260841,0.4952577
16,0.260841,-0.5072577
17,0.27113473,-0.57699996
18,0.26913595,-0.57699996
19,0.30511403,-0.8595
20,0.30311525,-0.8595
21,0.33479592,-1.1060001
22,0.33279714,-1.1060001
23,0.33279714,-1.3090897
24,0.5385981,-1.5099019
25,0.53446895,-1.5140296
26,0.9056296,-1.884058
27,0.904219,-1.8854747
28,1.0881953,-2.06614
29,1.3484797,-2.0651865
30,1.7301791,-1.6809858
31,1.5644158,-1.5688353
32,1.3799913,-1.576883
33,1.3798919,-1.576727
34,1.1962221,-1.5847499
35,1.1963165,-1.584898
36,1.0553741,-1.5910484
37,1.0552835,-1.5909063
38,0.9475025,-1.5956142
39,0.9056864,-1.5955623
40,0.899143,-1.5947847
41,0.88338786,-1.5902643
42,0.8676812,-1.5808736
43,0.85132235,-1.5676688
44,0.8334819,-1.5462421
45,0.82606256,-1.5287524
46,0.8226777,-1.5151683
47,0.82102275,-1.4962406
48,0.82069135,-1.4772435
49,0.82288736,-1.4458203
50,0.827573,-1.4192305
51,0.8391946,-1.387281
52,0.8552443,-1.3528413
53,0.8775665,-1.3220986
54,0.8994735,-1.3001783
55,1.1856773,-1.0138
56,1.279,-0.8423
57,1.296,-0.8202
58,1.433,-0.8202
59,1.433,-0.711
60,1.49,-0.491
61,1.46,-0.491
62,1.46,-0.233
63,1.661,-0.233
64,1.661,0.226
65,1.46,0.226
66,1.46,0.481
67,1.493,0.481
68,1.474,0.554
69,1.433,0.711
70,1.433,0.8156
71,1.296,0.8156
72,1.279,0.83769995
73,1.1856773,1.0092
74,0.8994735,1.2955782
75,0.8775665,1.3174986
76,0.8552443,1.3482412
77,0.8391946,1.3826809
78,0.827573,1.4146304
79,0.82288736,1.4412203
80,0.82069135,1.4726435
81,0.82102275,1.4916406
82,0.8226777,1.5105683
83,0.82606256,1.5241524
84,0.8334819,1.5416421
85,0.85132235,1.5630687
86,0.8676812,1.5762736
87,0.88338786,1.5856643
88,0.899143,1.5901847
89,0.9056864,1.5909623
90,0.9475025,1.5910141
91,1.0552835,1.5863062
92,1.0553741,1.5864483
93,1.1963165,1.580298
94,1.1962221,1.5801499
95,1.3798919,1.572127
96,1.3799913,1.5722829
97,1.5644158,1.5642352
