,name,R,Z,coil_pair
0,d1_lower,0.35275,-1.62125,d1
0,d1_lower,0.36745015,-1.62125,d1
0,d1_lower,0.38215014,-1.62125,d1
0,d1_lower,0.39685005,-1.62125,d1
0,d1_lower,0.35275,-1.6065501,d1
0,d1_lower,0.35275,-1.59185,d1
0,d1_lower,0.35275,-1.57715,d1
0,d1_lower,0.35275,-1.56245,d1
0,d1_lower,0.3527504,-1.54775,d1
0,d1_lower,0.3674504,-1.54775,d1
0,d1_lower,0.3674504,-1.56245,d1
0,d1_lower,0.3674504,-1.57715,d1
0,d1_lower,0.3674504,-1.59185,d1
0,d1_lower,0.36745,-1.6065501,d1
0,d1_lower,0.38215002,-1.59185,d1
0,d1_lower,0.38215002,-1.57715,d1
0,d1_lower,0.38215002,-1.56245,d1
0,d1_lower,0.38215002,-1.54775,d1
0,d1_lower,0.39685014,-1.54775,d1
0,d1_lower,0.39685014,-1.56245,d1
0,d1_lower,0.39685014,-1.57715,d1
0,d1_lower,0.39685014,-1.59185,d1
0,d1_lower,0.39685008,-1.6065501,d1
0,d1_lower,0.41155013,-1.6065501,d1
0,d1_lower,0.41155013,-1.59185,d1
0,d1_lower,0.41155013,-1.57715,d1
0,d1_lower,0.41155013,-1.56245,d1
0,d1_lower,0.4115501,-1.54775,d1
0,d1_lower,0.42625037,-1.54775,d1
0,d1_lower,0.42625007,-1.56245,d1
0,d1_lower,0.42625007,-1.57715,d1
0,d1_lower,0.42625007,-1.59185,d1
0,d1_lower,0.42625007,-1.6065501,d1
0,d1_lower,0.41155002,-1.62125,d1
0,d1_lower,0.4262501,-1.62125,d1
1,d1_upper,0.35275,1.60925,d1
1,d1_upper,0.36745015,1.60925,d1
1,d1_upper,0.38215014,1.60925,d1
1,d1_upper,0.39685005,1.60925,d1
1,d1_upper,0.35275,1.59455,d1
1,d1_upper,0.35275,1.57985,d1
1,d1_upper,0.35275,1.5651499,d1
1,d1_upper,0.35275,1.55045,d1
1,d1_upper,0.3527504,1.5357499,d1
1,d1_upper,0.3674504,1.5357499,d1
1,d1_upper,0.3674504,1.55045,d1
1,d1_upper,0.3674504,1.5651499,d1
1,d1_upper,0.3674504,1.57985,d1
1,d1_upper,0.36745,1.59455,d1
1,d1_upper,0.38215002,1.57985,d1
1,d1_upper,0.38215002,1.5651499,d1
1,d1_upper,0.38215002,1.55045,d1
1,d1_upper,0.38215002,1.5357499,d1
1,d1_upper,0.39685014,1.5357499,d1
1,d1_upper,0.39685014,1.55045,d1
1,d1_upper,0.39685014,1.5651499,d1
1,d1_upper,0.39685014,1.57985,d1
1,d1_upper,0.39685008,1.59455,d1
1,d1_upper,0.41155013,1.59455,d1
1,d1_upper,0.41155013,1.57985,d1
1,d1_upper,0.41155013,1.5651499,d1
1,d1_upper,0.41155013,1.55045,d1
1,d1_upper,0.4115501,1.5357499,d1
1,d1_upper,0.42625037,1.5357499,d1
1,d1_upper,0.42625007,1.55045,d1
1,d1_upper,0.42625007,1.5651499,d1
1,d1_upper,0.42625007,1.57985,d1
1,d1_upper,0.42625007,1.59455,d1
1,d1_upper,0.41155002,1.60925,d1
1,d1_upper,0.4262501,1.60925,d1
2,d2_lower,0.6012501,-1.76705,d2
2,d2_lower,0.58655024,-1.76705,d2
2,d2_lower,0.6012502,-1.75235,d2
2,d2_lower,0.6012502,-1.73765,d2
2,d2_lower,0.60125023,-1.72295,d2
2,d2_lower,0.58655,-1.72295,d2
2,d2_lower,0.58655,-1.73765,d2
2,d2_lower,0.5718501,-1.75235,d2
2,d2_lower,0.57185036,-1.73765,d2
2,d2_lower,0.5718504,-1.72295,d2
2,d2_lower,0.55715007,-1.72295,d2
2,d2_lower,0.55715007,-1.73765,d2
2,d2_lower,0.55715,-1.75235,d2
2,d2_lower,0.5424502,-1.75235,d2
2,d2_lower,0.5424502,-1.73765,d2
2,d2_lower,0.54245,-1.72295,d2
